clave,descripcion
1901,Mil novecientos uno
1902,Mil novecientos dos
1903,Mil novecientos tres
1904,Mil novecientos cuatro
1905,Mil novecientos cinco
1906,Mil novecientos seis
1907,Mil novecientos siete
1908,Mil novecientos ocho
1909,Mil novecientos nueve
1910,Mil novecientos diez
1911,Mil novecientos once
1912,Mil novecientos doce
1913,Mil novecientos trece
1914,Mil novecientos catorce
1915,Mil novecientos quince
1916,Mil novecientos dieciséis
1917,Mil novecientos diecisiete
1918,Mil novecientos dieciocho
1919,Mil novecientos diecinueve
1920,Mil novecientos veinte
1921,Mil novecientos veintiuno
1922,Mil novecientos veintidós
1923,Mil novecientos veintitrés
1924,Mil novecientos veinticuatro
1925,Mil novecientos veinticinco
1926,Mil novecientos veintiséis
1927,Mil novecientos veintisiete
1928,Mil novecientos veintiocho
1929,Mil novecientos veintinueve
1930,Mil novecientos treinta
1931,Mil novecientos treinta y uno
1932,Mil novecientos treinta y dos
1933,Mil novecientos treinta y tres
1934,Mil novecientos treinta y cuatro
1935,Mil novecientos treinta y cinco
1936,Mil novecientos treinta y seis
1937,Mil novecientos treinta y siete
1938,Mil novecientos treinta y ocho
1939,Mil novecientos treinta y nueve
1940,Mil novecientos cuarenta
1941,Mil novecientos cuarenta y uno
1942,Mil novecientos cuarenta y dos
1943,Mil novecientos cuarenta y tres
1944,Mil novecientos cuarenta y cuatro
1945,Mil novecientos cuarenta y cinco
1946,Mil novecientos cuarenta y seis
1947,Mil novecientos cuarenta y siete
1948,Mil novecientos cuarenta y ocho
1949,Mil novecientos cuarenta y nueve
1950,Mil novecientos cincuenta
1951,Mil novecientos cincuenta y uno
1952,Mil novecientos cincuenta y dos
1953,Mil novecientos cincuenta y tres
1954,Mil novecientos cincuenta y cuatro
1955,Mil novecientos cincuenta y cinco
1956,Mil novecientos cincuenta y seis
1957,Mil novecientos cincuenta y siete
1958,Mil novecientos cincuenta y ocho
1959,Mil novecientos cincuenta y nueve
1960,Mil novecientos sesenta
1961,Mil novecientos sesenta y uno
1962,Mil novecientos sesenta y dos
1963,Mil novecientos sesenta y tres
1964,Mil novecientos sesenta y cuatro
1965,Mil novecientos sesenta y cinco
1966,Mil novecientos sesenta y seis
1967,Mil novecientos sesenta y siete
1968,Mil novecientos sesenta y ocho
1969,Mil novecientos sesenta y nueve
1970,Mil novecientos setenta
1971,Mil novecientos setenta y uno
1972,Mil novecientos setenta y dos
1973,Mil novecientos setenta y tres
1974,Mil novecientos setenta y cuatro
1975,Mil novecientos setenta y cinco
1976,Mil novecientos setenta y seis
1977,Mil novecientos setenta y siete
1978,Mil novecientos setenta y ocho
1979,Mil novecientos setenta y nueve
1980,Mil novecientos ochenta
1981,Mil novecientos ochenta y uno
1982,Mil novecientos ochenta y dos
1983,Mil novecientos ochenta y tres
1984,Mil novecientos ochenta y cuatro
1985,Mil novecientos ochenta y cinco
1986,Mil novecientos ochenta y seis
1987,Mil novecientos ochenta y siete
1988,Mil novecientos ochenta y ocho
1989,Mil novecientos ochenta y nueve
1990,Mil novecientos noventa
1991,Mil novecientos noventa y uno
1992,Mil novecientos noventa y dos
1993,Mil novecientos noventa y tres
1994,Mil novecientos noventa y cuatro
1995,Mil novecientos noventa y cinco
1996,Mil novecientos noventa y seis
1997,Mil novecientos noventa y siete
1998,Mil novecientos noventa y ocho
1999,Mil novecientos noventa y nueve
2000,Dos mil
2001,Dos mil  uno
2002,Dos mil  dos
2003,Dos mil  tres
2004,Dos mil  cuatro
2005,Dos mil  cinco
2006,Dos mil  seis
2007,Dos mil  siete
2008,Dos mil  ocho
2009,Dos mil  nueve
2010,Dos mil  diez
2011,Dos mil  once
2012,Dos mil  doce
2013,Dos mil  trece
2014,Dos mil  catorce
2015,Dos mil  quince
2016,Dos mil  dieciséis
2017,Dos mil  diecisiete
9999,No especificado
